backend,window_s,calibration_runs,validation_runs,test_runs,skipped_runs,skipped_run_ids,polarity,selected_policy,threshold,t_on,t_off,hysteresis_gap,persistence_windows,calibration_real_only_fa_per_min,calibration_target_recall,calibration_target_f1,validation_auc,validation_precision,validation_recall,validation_f1,validation_false_alerts_per_min,validation_ttfd_s,validation_flicker,test_auc,test_precision,test_recall,test_f1,test_false_alerts_per_min,test_ttfd_s,test_flicker
f3net,30,6,5,5,0,,high,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.61425,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.616358,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
i3d,30,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.459038,0.5008397715821297,0.992676431424767,0.665773610180844,2.0427236315086783,0.0,0.040309035942223716,0.522421,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
videomae,30,6,5,5,0,,low,strict_0.10,0.13,0.13,0.03,0.1,1,0.1,1.0,0.7504166666666667,0.498045,0.49714669352131585,0.9860186418109188,0.6610131667038607,2.0427236315086783,0.25,0.02014098690835851,0.554833,0.49833110814419224,0.9973279893119572,0.6645893612285778,2.0758483033932134,0.04878048780487805,0.04005340453938584
xception_df40,30,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,0.9988895058300944,0.7519331243469175,0.49443,0.4905395935529082,0.9320905459387483,0.642791551882461,2.12283044058745,0.7528690476190475,0.37841625788367206,0.501566,0.4952087611225188,0.9665998663994656,0.6548992984838199,2.035928143712575,0.4760853658536584,0.26694045174537984
efficientnet_b4,60,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.4826,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.587384,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
effort_clip_l14,60,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,0.9727928928373126,0.7437911271492251,0.505527,0.4879737609329446,0.8914780292942743,0.6307112576542628,1.9626168224299068,1.429547619047618,0.3717201166180758,0.354901,0.49485949280328995,0.9645958583834335,0.6541336353340884,2.035928143712575,0.44853658536585367,0.2467443454420836
f3net,60,6,5,5,0,,high,strict_0.10,0.22,0.22,0.22,0.0,1,0.1,1.0,0.7504166666666667,0.642655,0.503385240352065,0.9900133155792277,0.6674147217235189,2.12283044058745,0.1788809523809522,0.18280297901150983,0.62428,0.5045561930475869,0.9986639946559787,0.6704035874439462,2.1157684630738522,0.021048780487804866,0.0809989875126561
i3d,60,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.7502603624244949,0.441495,0.5006666666666667,1.0,0.6672589960017771,2.0427236315086783,0.0,0.0,0.510673,0.499,1.0,0.6657771847898598,2.0758483033932134,0.0,0.0
videomae,60,6,5,5,0,,low,strict_0.10,0.2,0.2,0.2,0.0,1,0.1,1.0,0.7510425354462051,0.481658,0.49915511997296386,0.9833555259653795,0.6621833669580812,2.082777036048064,0.27380952380952384,0.12166272389320716,0.541907,0.4964824120603015,0.9899799599198397,0.6613119143239624,2.0758483033932134,0.06097560975609756,0.16080402010050251
xception_df40,60,6,5,5,0,,low,strict_0.10,0.01,0.01,0.01,0.0,1,0.1,1.0,0.751199165797706,0.510174,0.49966261808367074,0.9860186418109188,0.6632333184057323,2.082777036048064,0.20238095238095238,0.12145748987854252,0.521313,0.49680242342645575,0.9859719438877755,0.6606982990152194,2.035928143712575,0.21276829268292685,0.060585661393470214
