window_s,validation_winner,validation_winner_f1,validation_winner_false_alerts_per_min,validation_winner_false_alert_time_ratio,validation_winner_ttfd_s,validation_mean_f1,validation_mean_false_alerts_per_min,validation_mean_false_alert_time_ratio,validation_mean_ttfd_s,test_mean_f1,test_mean_false_alerts_per_min,test_mean_false_alert_time_ratio,test_mean_ttfd_s
47,videomae,0.436364,0.141593,0.40295,10.573524,0.369196,0.20059000000000002,0.4864306666666667,10.600390833333334,0.5006211666666667,0.3649635,0.5107276666666667,8.452550833333333
48,effort_clip_l14,0.436364,0.105634,0.408451,11.291226,0.310931,0.20539933333333335,0.43896700000000005,12.088769999999998,0.5193983333333333,0.3125001666666667,0.4527778333333334,8.796272333333333
49,videomae,0.166667,0.115756,0.385852,16.044095,0.41533983333333335,0.23151116666666668,0.4237941666666667,11.191019666666667,0.32912,0.186186,0.43123116666666667,11.598692999999999
50,xception_df40,0.25641,0.082759,0.103448,15.413714,0.3625995,0.15862083333333332,0.3390803333333334,12.4337935,0.39913333333333334,0.24666666666666667,0.40555566666666665,11.098046833333333
51,xception_df40,0.162162,0.045147,0.029345,16.600738,0.3763086666666666,0.18058700000000003,0.29683983333333336,12.644841166666666,0.455004,0.23060783333333335,0.4318661666666667,10.192296666666666
52,xception_df40,0.521739,0.120968,0.123656,12.428321,0.42171049999999993,0.18817183333333332,0.40681000000000006,10.800781666666667,0.38153600000000004,0.13755983333333333,0.31897916666666665,11.706688999999999
53,videomae,0.3,0.078176,0.149186,12.918202,0.40402566666666667,0.20195466666666664,0.46731833333333334,10.935083166666667,0.43037166666666665,0.2489625,0.49147066666666667,10.292619833333333
54,i3d,0.0,0.0,0.0,17.857143,0.4055168333333334,0.126582,0.2890296666666667,11.373232166666668,0.45738133333333336,0.190217,0.3152175,11.308508166666668
55,i3d,0.0,0.0,0.0,17.857143,0.34561183333333334,0.13651883333333334,0.28953350000000005,12.034573333333334,0.33553016666666663,0.17021283333333334,0.3758865,11.721882
56,videomae,0.55814,0.079787,0.138298,10.067905,0.3387793333333333,0.16622333333333333,0.3696808333333333,12.579646833333333,0.409313,0.1640625,0.3666666666666667,11.754465666666666
57,videomae,0.553191,0.136674,0.15262,9.377821,0.468929,0.27334866666666663,0.3595295,9.9448055,0.5004138333333333,0.2059925,0.437578,8.632662666666667
58,i3d,0.311111,0.106888,0.437055,14.369345,0.4362,0.2078385,0.46377683333333336,9.828327333333334,0.38387499999999997,0.16372816666666667,0.44332483333333333,10.864699166666668
59,i3d,0.142857,0.11509,0.427749,16.045536,0.3622843333333334,0.20460366666666666,0.46121049999999997,11.201071333333333,0.46286083333333333,0.164835,0.358173,10.348439166666667
60,effort_clip_l14,0.391304,0.125,0.458333,12.243643,0.4691558333333334,0.19444433333333333,0.44444449999999996,9.690325666666666,0.5343683333333333,0.20666666666666667,0.4266666666666667,8.497201166666667
