window_s,backend,rank,winner,polarity,selected_policy,threshold,t_on,t_off,persistence_windows,calibration_real_only_fa_per_min,calibration_real_only_false_alert_time_ratio,validation_f1,validation_false_alerts_per_min,validation_false_alert_time_ratio,validation_ttfd_s,test_f1,test_false_alerts_per_min,test_false_alert_time_ratio,test_ttfd_s
18,videomae,3,False,low,strict_0.10,0.58,0.58,0.48,3,0.0,0.0,0.372414,0.426357,0.403101,11.762369,0.550265,0.871369,0.605809,7.176793
18,xception_df40,4,False,high,strict_0.10,0.95,0.95,0.85,1,0.1,0.03,0.4,0.581395,0.294574,11.520143,0.42963,0.6639,0.219917,11.730598
18,f3net,5,False,high,strict_0.10,0.53,0.53,0.43000000000000005,3,0.0,0.0,0.563536,0.658915,0.542636,6.790964,0.503226,0.497925,0.344398,10.379427
18,efficientnet_b4,6,False,low,strict_0.10,0.67,0.67,0.5700000000000001,3,0.0,0.0,0.562874,0.697674,0.426357,6.809988,0.640351,1.286307,0.813278,2.130378
19,i3d,1,True,low,strict_0.10,0.33,0.33,0.23,2,0.0,0.0,0.45,0.316832,0.548515,10.195726,0.45509,0.512195,0.645732,8.458927
19,effort_clip_l14,2,False,high,strict_0.10,0.99,0.99,0.89,2,0.0,0.0,0.446429,0.316832,0.09505,12.140774,0.159091,0.256098,0.09939,16.014976
19,xception_df40,3,False,low,strict_0.10,0.28,0.28,0.18000000000000002,3,0.0,0.0,0.283186,0.356436,0.215182,13.942631,0.434109,0.292683,0.335976,11.079659
19,videomae,4,False,low,strict_0.10,0.65,0.65,0.55,2,0.0,0.0,0.245614,0.356436,0.258086,14.371869,0.468085,0.621951,0.412195,9.959183
19,efficientnet_b4,5,False,low,strict_0.10,0.73,0.73,0.63,3,0.0,0.0,0.290598,0.435644,0.258086,14.137143,0.392405,0.695122,0.622561,9.198927
19,f3net,6,False,high,strict_0.10,0.51,0.51,0.41000000000000003,3,0.0,0.0,0.662722,0.712871,0.415842,5.753548,0.462585,0.512195,0.455488,9.595341
20,i3d,1,True,low,strict_0.10,0.32,0.32,0.27,3,0.0,0.0,0.0,0.039474,0.342105,17.857143,0.546875,0.38961,0.25974,9.761854
20,videomae,2,False,low,strict_0.10,0.58,0.58,0.48,3,0.1,0.033333,0.434109,0.236842,0.355263,10.78781,0.515723,0.545455,0.584416,7.382732
20,xception_df40,3,False,low,strict_0.10,0.34,0.34,0.24000000000000002,3,0.1,0.033333,0.20202,0.236842,0.197368,15.204643,0.44,0.155844,0.064935,12.509012
20,effort_clip_l14,4,False,high,strict_0.10,0.99,0.99,0.89,2,0.0,0.0,0.486486,0.355263,0.131579,11.585714,0.236559,0.233766,0.116883,15.568512
20,f3net,5,False,high,strict_0.10,0.51,0.51,0.41000000000000003,3,0.0,0.0,0.606061,0.592105,0.539474,6.020536,0.490066,0.623377,0.532468,8.610878
20,efficientnet_b4,6,False,low,strict_0.10,0.7,0.7,0.6,3,0.0,0.0,0.530612,0.710526,0.447368,8.204643,0.52381,0.74026,0.662338,7.054476
21,effort_clip_l14,1,True,low,strict_0.10,0.32,0.32,0.27,2,0.1,0.02,0.319149,0.199203,0.085657,13.403774,0.163265,0.329897,0.230928,15.832024
21,efficientnet_b4,2,False,high,strict_0.10,0.39,0.39,0.34,3,0.0,0.0,0.193548,0.199203,0.161355,15.764726,0.336842,0.164948,0.072165,13.947427
21,xception_df40,3,False,low,strict_0.10,0.35,0.35,0.24999999999999997,3,0.0,0.0,0.087912,0.278884,0.197211,16.550464,0.46,0.123711,0.043299,12.446817
21,i3d,4,False,low,strict_0.10,0.32,0.32,0.27,2,0.0,0.0,0.410959,0.318725,0.595618,10.219571,0.639594,0.907216,0.841237,3.282512
21,videomae,5,False,low,strict_0.10,0.52,0.52,0.42000000000000004,3,0.1,0.02,0.48951,0.517928,0.496016,9.000726,0.609195,0.618557,0.659794,5.419024
21,f3net,6,False,high,strict_0.10,0.5,0.5,0.4,3,0.0,0.0,0.580247,0.557769,0.593625,5.906107,0.516129,0.659794,0.56701,7.611012
22,i3d,1,True,low,strict_0.10,0.32,0.32,0.27,2,0.0,0.0,0.190476,0.3125,0.627604,13.993345,0.666667,0.671053,0.471053,4.778427
22,efficientnet_b4,2,False,low,strict_0.10,0.71,0.71,0.61,3,0.0,0.0,0.288288,0.351563,0.355469,13.107548,0.464516,0.710526,0.717105,8.706195
22,videomae,3,False,low,strict_0.10,0.62,0.62,0.52,2,0.1,0.046667,0.261682,0.429688,0.33724,13.499405,0.557823,0.513158,0.528947,7.345195
22,f3net,4,False,high,strict_0.10,0.54,0.54,0.44000000000000006,3,0.0,0.0,0.58156,0.46875,0.447917,6.995429,0.486486,0.315789,0.2,11.242122
22,xception_df40,5,False,low,strict_0.10,0.32,0.32,0.22,2,0.1,0.01,0.336449,0.46875,0.279948,12.478548,0.36,0.355263,0.181579,12.881756
22,effort_clip_l14,6,False,low,strict_0.10,0.1,0.1,0.0,3,0.1,0.046667,0.625767,0.664062,0.598958,4.122036,0.466667,0.552632,0.638158,9.079793
23,videomae,1,True,low,strict_0.10,0.49,0.49,0.39,3,0.1,0.041667,0.496241,0.271143,0.507424,8.376524,0.639535,0.711297,0.711297,4.402024
23,effort_clip_l14,2,False,low,strict_0.10,0.12,0.12,0.01999999999999999,3,0.0,0.0,0.513274,0.309877,0.269852,9.842226,0.454545,0.41841,0.485356,10.793817
23,efficientnet_b4,3,False,high,strict_0.10,0.37,0.37,0.27,3,0.0,0.0,0.416667,0.348612,0.433183,10.99706,0.376238,0.251046,0.179219,13.626146
23,xception_df40,4,False,high,strict_0.10,0.95,0.95,0.85,1,0.1,0.038333,0.363636,0.348612,0.225307,12.296333,0.361905,0.543933,0.243375,12.442378
23,i3d,5,False,low,strict_0.10,0.3,0.3,0.25,3,0.0,0.0,0.306569,0.464816,0.717883,11.831964,0.619565,0.878661,0.871688,3.413146
23,f3net,6,False,high,strict_0.10,0.49,0.49,0.44,3,0.0,0.0,0.573333,0.542285,0.597805,5.945095,0.603175,0.502092,0.275453,8.364451
24,xception_df40,1,True,low,strict_0.10,0.38,0.38,0.28,2,0.0,0.0,0.282353,0.211864,0.118644,13.941464,0.38961,0.113636,0.045455,13.567537
24,effort_clip_l14,2,False,high,strict_0.10,0.97,0.97,0.9199999999999999,3,0.0,0.0,0.470588,0.254237,0.20339,11.40819,0.0,0.037879,0.045455,17.863671
24,i3d,3,False,high,strict_0.10,0.72,0.72,0.62,2,0.0,0.0,0.481481,0.338983,0.271186,10.523024,0.073171,0.075758,0.30303,17.310707
24,videomae,4,False,low,strict_0.10,0.62,0.62,0.52,2,0.0,0.0,0.36036,0.423729,0.423729,12.035012,0.446429,0.454545,0.424242,10.432756
